zipcode,population
ZCTA 03301,33008
ZCTA 03303,15524
ZCTA 03304,7519
ZCTA 03307,5334
ZCTA 03431,25280
ZCTA 03440,2692
ZCTA 03441,395
ZCTA 03442,1491
ZCTA 03443,742
ZCTA 03444,1590
ZCTA 03445,691
ZCTA 03446,6285
ZCTA 03447,2422
ZCTA 03448,811
ZCTA 03449,1654
ZCTA 03450,961
ZCTA 03451,4077
ZCTA 03452,5457
ZCTA 03455,2086
ZCTA 03456,742
ZCTA 03457,852
ZCTA 03458,6643
ZCTA 03461,6014
ZCTA 03462,1562
ZCTA 03464,1109
ZCTA 03465,2156
ZCTA 03466,1332
ZCTA 03467,1842
ZCTA 03470,5033
ZCTA 03561,5939
ZCTA 03570,10051
ZCTA 03574,2526
ZCTA 03575,124
ZCTA 03576,3238
ZCTA 03579 (part),103
ZCTA 03579 (part),358
ZCTA 03580,1369
ZCTA 03581,3230
ZCTA 03582,2577
ZCTA 03583,1107
ZCTA 03584,3774
ZCTA 03585,2519
ZCTA 03586,547
ZCTA 03588,1641
ZCTA 03590,1052
ZCTA 03592,1145
ZCTA 03593,313
ZCTA 03595,639
ZCTA 03597,521
ZCTA 03598,3285
ZCTA 03601,477
ZCTA 03602,2654
ZCTA 03603,5412
ZCTA 03604,69
ZCTA 03605,1160
ZCTA 03607,322
ZCTA 03608,2811
ZCTA 03609,854
ZCTA 03740,911
ZCTA 03741,4208
ZCTA 03743,14103
ZCTA 03745,1424
ZCTA 03746,216
ZCTA 03748,4762
ZCTA 03750,870
ZCTA 03751,583
ZCTA 03752,810
ZCTA 03753,2971
ZCTA 03754,86
ZCTA 03755,10538
ZCTA 03765,503
ZCTA 03766,8958
ZCTA 03768,1716
ZCTA 03770,524
ZCTA 03771,754
ZCTA 03773,7841
ZCTA 03774,1966
ZCTA 03777,1237
ZCTA 03779,790
ZCTA 03780,410
ZCTA 03781,1840
ZCTA 03782,2945
ZCTA 03784,4086
ZCTA 03785,2400
ZCTA 03801,21532
ZCTA 03809,3716
ZCTA 03810,1538
ZCTA 03811,6753
ZCTA 03812,824
ZCTA 03813,3250
ZCTA 03814,2329
